PheCode,Names,Short_names,Category_code,Category,Full_Category
722.1,Displacement of intervertebral disc,Displacement of intervertebral disc,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
816,Cerebral laceration and contusion,Cerebral laceration and contusion,18,injuries & poisonings,injury and poisoning
429.3,Symptoms involving cardiovascular system,Symptoms involving cardiovascular system,8,circulatory system,diseases of the circulatory system
526.42,Arthralgia/ankylosis of temporomandibular joint,Arthralgia/ankylosis of temporomandibular joint,10,digestive,diseases of the digestive system
705.3,Hidradenitis,Hidradenitis,13,dermatologic,diseases of the skin and subcutaneous tissue
627.2,Symptomatic menopause,Symptomatic menopause,11,genitourinary,diseases of the genitourinary system
676,Other disorders of the breast associated with childbirth and disorders of lactation,Disorders of the breast associated with childbirth & disorders of lactation,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
772,Symptoms of the muscles,Symptoms of the muscles,17,symptoms,"symptoms, signs, and ill-defined conditions"
550.5,Ventral hernia,Ventral hernia,10,digestive,diseases of the digestive system
694.2,Other dyschromia,Other dyschromia,13,dermatologic,diseases of the skin and subcutaneous tissue
722.3,Schmorl's nodes,Schmorl's nodes,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
276.41,Acidosis,Acidosis,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
287.31,Primary thrombocytopenia,Primary thrombocytopenia,4,hematopoietic,diseases of the blood and blood-forming organs
574.1,Cholelithiasis,Cholelithiasis,10,digestive,diseases of the digestive system
609,Male infertility and abnormal spermatozoa,Male infertility and abnormal spermatozoa,11,genitourinary,diseases of the genitourinary system
691.3,Congenital pigmentary anomalies of skin,Congenital pigmentary anomalies of skin,13,dermatologic,diseases of the skin and subcutaneous tissue
691,Congenital anomalies of skin,Other congenital anomalies of skin,13,dermatologic,diseases of the skin and subcutaneous tissue
755.3,Congenital anomaly of fingers/toes,Congenital anomaly of fingers/toes,15,congenital anomalies,congenital anomalies
946,Anaphylactic shock NOS,Anaphylactic shock NOS,18,injuries & poisonings,injury and poisoning
41.1,Staphylococcus infections,Staphylococcus infections,1,infectious diseases,infectious and parasitic diseases
79,Viral infection,Viral infection,1,infectious diseases,infectious and parasitic diseases
130,Spirochetal infection,Spirochetal infection,1,infectious diseases,infectious and parasitic diseases
550.2,Diaphragmatic hernia,Diaphragmatic hernia,10,digestive,diseases of the digestive system
286.13,Congenital factor VIII disorder,Congenital factor VIII disorder,4,hematopoietic,diseases of the blood and blood-forming organs
446.8,Thrombotic microangiopathy,Thrombotic microangiopathy,8,circulatory system,diseases of the circulatory system
726.2,Synoviopathy,Synoviopathy,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
204.11,"Lymphoid leukemia, acute","Lymphoid leukemia, acute",2,neoplasms,neoplasms
458,Hypotension,Hypotension,8,circulatory system,diseases of the circulatory system
716.2,Unspecified monoarthritis,Unspecified monoarthritis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
969,Poisoning by psychotropic agents,Poisoning by psychotropic agents,18,injuries & poisonings,injury and poisoning
292.12,Symbolic dysfunction,Symbolic dysfunction,5,mental disorders,mental disorders
709,Diffuse diseases of connective tissue,Diffuse diseases of connective tissue,13,dermatologic,diseases of the skin and subcutaneous tissue
323.2,Acute (transverse) myelitis,Acute myelitis,6,neurological,diseases of the nervous system
580.3,Nephritis and nephropathy without mention of glomerulonephritis,Nephritis and nephropathy without mention of glomerulonephritis,11,genitourinary,diseases of the genitourinary system
253,Disorders of the pituitary gland and its hypothalamic control,Disorders of the pituitary gland and its hypothalamic control,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
446.9,Arteritis NOS,Arteritis NOS,8,circulatory system,diseases of the circulatory system
338.1,Acute pain,Acute pain,6,neurological,diseases of the nervous system
840.1,Muscle/tendon sprain,Muscle/tendon sprain,18,injuries & poisonings,injury and poisoning
747.2,Congenital anomalies of peripheral vascular system,Congenital anomalies of peripheral vascular system,15,congenital anomalies,congenital anomalies
785,Abdominal pain,Abdominal pain,17,symptoms,"symptoms, signs, and ill-defined conditions"
250.7,Diabetic retinopathy,Diabetic retinopathy,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
276,"Disorders of fluid, electrolyte, and acid-base balance","Fluid, electrolyte, & acid-base balance disorders",3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
411.9,Other acute and subacute forms of ischemic heart disease,Other acute and subacute forms of ischemic heart disease,8,circulatory system,diseases of the circulatory system
568.1,Peritoneal adhesions (postoperative) (postinfection),Peritoneal adhesions (postoperative) (postinfection),10,digestive,diseases of the digestive system
642,"Hypertension complicating pregnancy, childbirth, and the puerperium",Hypertension complicating pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
711.3,Behcet's syndrome,Behcet's syndrome,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
351,Other peripheral nerve disorders,Other peripheral nerve disorders,6,neurological,diseases of the nervous system
619.3,Noninflammatory disorders of cervix,Noninflammatory disorders of cervix,11,genitourinary,diseases of the genitourinary system
742.2,"Pathological, developmental or recurrent dislocation","Pathological, developmental or recurrent dislocation",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
858,Complication of internal orthopedic device,Complication of internal orthopedic device,18,injuries & poisonings,injury and poisoning
271.9,Other disorders of carbohydrate transport and metabolism,Disorders of carbohydrate transport & metabolism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
327.1,Hypersomnia,Hypersomnia,6,neurological,diseases of the nervous system
395.2,Nonrheumatic aortic valve disorders,Nonrheumatic aortic valve disorders,8,circulatory system,diseases of the circulatory system
644,Anemia during pregnancy,Anemia during pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
957,Injury to other and unspecified nerves,Injury to other and unspecified nerves,18,injuries & poisonings,injury and poisoning
994.2,Sepsis,Sepsis,18,injuries & poisonings,injury and poisoning
202.2,Non-Hodgkins lymphoma,Non-Hodgkins lymphoma,2,neoplasms,neoplasms
242,Thyrotoxicosis with or without goiter,Thyrotoxicosis,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
379.3,Aphakia and other disorders of lens,Aphakia and other disorders of lens,7,sense organs,diseases of the sense organs
379.51,Pigmentary iris degeneration,Pigmentary iris degeneration,7,sense organs,diseases of the sense organs
528.4,Cysts of oral soft tissues,Cysts of oral soft tissues,10,digestive,diseases of the digestive system
227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),"Benign neoplasm of pituitary gland, craniopharyngeal duct",2,neoplasms,neoplasms
345.3,Convulsions,Convulsions,6,neurological,diseases of the nervous system
496.3,Bronchiectasis,Bronchiectasis,9,respiratory,diseases of the respiratory system
509.3,Pulmonary insufficiency or respiratory failure following trauma and surgery,Pulmonary insufficiency or respiratory failure following trauma and surgery,9,respiratory,diseases of the respiratory system
561.2,Flatulence,Flatulence,,,
244.5,Congenital hypothyroidism,Congenital hypothyroidism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
300.12,"Agorophobia, social phobia, and panic disorder","Agorophobia, social phobia, and panic disorder",5,mental disorders,mental disorders
512,Other symptoms of respiratory system,Other symptoms of respiratory system,9,respiratory,diseases of the respiratory system
626.12,Excessive or frequent menstruation,Excessive or frequent menstruation,11,genitourinary,diseases of the genitourinary system
761,Cervicalgia,Cervicalgia,17,symptoms,"symptoms, signs, and ill-defined conditions"
362.4,Retinal vascular changes and abnomalities,Retinal vascular changes and abnomalities,7,sense organs,diseases of the sense organs
473.1,Chronic laryngitis,Chronic laryngitis,9,respiratory,diseases of the respiratory system
251,Other disorders of pancreatic internal secretion,Other disorders of pancreatic internal secretion,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
282.5,Sickle cell anemia,Sickle cell anemia,4,hematopoietic,diseases of the blood and blood-forming organs
306,Other mental disorder,Random mental disorder. Ignored for now,5,mental disorders,mental disorders
316.1,Polyneuropathy due to drugs,Polyneuropathy due to drugs,5,mental disorders,mental disorders
459.7,Blood vessel replaced,Blood vessel replaced,8,circulatory system,diseases of the circulatory system
614.32,Chronic inflammatory pelvic disease,Chronic inflammatory pelvic disease,11,genitourinary,diseases of the genitourinary system
686.1,Carbuncle and furuncle,Carbuncle and furuncle,13,dermatologic,diseases of the skin and subcutaneous tissue
756.2,Pectus and other congenital anomalies of ribs/sternum,Pectus excavatum and other congenital anomalies of ribs/sternum,15,congenital anomalies,congenital anomalies
797,Shock,Shock,17,symptoms,"symptoms, signs, and ill-defined conditions"
366.2,Senile cataract,Senile cataract,7,sense organs,diseases of the sense organs
455,Hemorrhoids,Hemorrhoids,8,circulatory system,diseases of the circulatory system
736.5,Acquired deformities of knee,Acquired deformities of knee,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
807,Fracture of ribs,Fracture of ribs,18,injuries & poisonings,injury and poisoning
840,Sprains and strains,Sprains and strains,18,injuries & poisonings,injury and poisoning
420,Carditis,Carditis,8,circulatory system,diseases of the circulatory system
528.7,Sialolithiasis,Sialolithiasis,10,digestive,diseases of the digestive system
859,Complication due to other implant and internal device,Mechanical complication due to other implant and internal device,18,injuries & poisonings,injury and poisoning
1002,"Symptoms concerning nutrition, metabolism, and development","Symptoms concerning nutrition, metabolism, and development",,,
214.1,Lipoma of skin and subcutaneous tissue,Lipoma of skin & subcutaneous tissue,2,neoplasms,neoplasms
364.9,Cornea replaced by transplant,Cornea replaced by transplant,7,sense organs,diseases of the sense organs
513.8,Disorders of diaphragm,Disorders of diaphragm,9,respiratory,diseases of the respiratory system
604.1,Redundant prepuce and phimosis/BXO,Redundant prepuce and phimosis/BXO,11,genitourinary,diseases of the genitourinary system
743.13,Other specified osteoporosis,Other specified osteoporosis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
520.1,Hereditary disturbances in tooth structure,Hereditary disturbances in tooth structure,10,digestive,diseases of the digestive system
578.9,Hemorrhage of gastrointestinal tract,Hemorrhage of gastrointestinal tract,10,digestive,diseases of the digestive system
610.1,Cystic mastopathy,Cystic mastopathy,11,genitourinary,diseases of the genitourinary system
696.3,Pityriasis,Pityriasis,13,dermatologic,diseases of the skin and subcutaneous tissue
875,Non-healing surgical wound,Non-healing surgical wound,18,injuries & poisonings,injury and poisoning
870.1,Open wound or laceration of eye or eyelid,Open wound of eye or eyelid,18,injuries & poisonings,injury and poisoning
942,Infusion and transfusion reaction,Infusion and transfusion reaction,18,injuries & poisonings,injury and poisoning
750.13,Congenital anomalies of mouth/tongue,Congenital anomalies of mouth/tongue,15,congenital anomalies,congenital anomalies
324.1,Jakob-Creutzfeldt disease,Jakob-Creutzfeldt disease,6,neurological,diseases of the nervous system
153,Colorectal cancer,Colorectal cancer,2,neoplasms,neoplasms
172.21,Basal cell carcinoma (new),Basal cell carcinoma (new),2,neoplasms,neoplasms
195.1,"Malignant neoplasm, other","Malignant neoplasm, other",2,neoplasms,neoplasms
571.6,Primary biliary cirrhosis,Biliary cirrhosis,10,digestive,diseases of the digestive system
599.4,Urinary incontinence,Urinary incontinence,11,genitourinary,diseases of the genitourinary system
733.4,Aseptic necrosis of bone,Aseptic necrosis of bone,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
790.1,Elevated sedimentation rate,Elevated sedimentation rate,17,symptoms,"symptoms, signs, and ill-defined conditions"
287.1,Spontaneous ecchymoses,Spontaneous ecchymoses,4,hematopoietic,diseases of the blood and blood-forming organs
290.12,Dementia with cerebral degenerations,Dementia with cerebral degenerations,5,mental disorders,mental disorders
457,"Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin",Encounter for long-term use of anticoagulants/antithrombotics,8,circulatory system,diseases of the circulatory system
180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],Cervical intraepithelial neoplasia (Cervical dysplasia),2,neoplasms,neoplasms
285.21,Anemia in chronic kidney disease,Anemia in chronic kidney disease,4,hematopoietic,diseases of the blood and blood-forming organs
601.8,Other inflammatory disorders of male genital organs,Other inflammatory disorders of male genital organs,11,genitourinary,diseases of the genitourinary system
1019,Other ill-defined and unknown causes of morbidity and mortality,Other ill-defined and unknown causes of morbidity and mortality,,,
132.1,Pediculosis and phthirus infestation,Pediculosis & phthirus infestation,1,infectious diseases,infectious and parasitic diseases
320,Meningitis,Meningitis,6,neurological,diseases of the nervous system
430,Intracranial hemorrhage,Intracranial hemorrhage,8,circulatory system,diseases of the circulatory system
244.2,Acquired hypothyroidism,Acquired hypothyroidism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
303.3,Psychogenic disorder,Psychogenic disorder,5,mental disorders,mental disorders
444.1,Arterial embolism and thrombosis of lower extremity artery,Arterial embolism and thrombosis of lower extremity artery,8,circulatory system,diseases of the circulatory system
613.1,Inflammatory disease of breast,Inflammatory disease of breast,11,genitourinary,diseases of the genitourinary system
728.2,Laxity of ligament or hypermobility syndrome,Laxity of ligament or hypermobility syndrome,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
965,"Poisoning by analgesics, antipyretics, and antirheumatics","Poisoning by analgesics, antipyretics, and antirheumatics",18,injuries & poisonings,injury and poisoning
38.3,Bacteremia,Bacteremia,1,infectious diseases,infectious and parasitic diseases
973,Poisoning by agents primarily affecting the gastrointestinal system,Poisoning by agents primarily affecting the gastrointestinal system,18,injuries & poisonings,injury and poisoning
145.4,Cancer of the gums,Cancer of the gums,2,neoplasms,neoplasms
155.1,"Malignant neoplasm of liver, primary","Hepatic cancer, primary",2,neoplasms,neoplasms
187.8,Neoplasm of uncertain behavior of male genital organs,Neoplasm of uncertain behavior of male genital organs,2,neoplasms,neoplasms
198.6,Secondary malignancy of bone,Secondary malignancy of bone,2,neoplasms,neoplasms
284.1,Pancytopenia,Pancytopenia,4,hematopoietic,diseases of the blood and blood-forming organs
327,Sleep disorders,Sleep disorders,6,neurological,diseases of the nervous system
526,Diseases of the jaws,Diseases of the jaws,10,digestive,diseases of the digestive system
204.1,Lymphoid leukemia,Lymphoid leukemia,2,neoplasms,neoplasms
504,Other alveolar and parietoalveolar pneumonopathy,Other alveolar and parietoalveolar pneumonopathy,9,respiratory,diseases of the respiratory system
522,Diseases of pulp and periapical tissues,Diseases of pulp and periapical tissues,10,digestive,diseases of the digestive system
635,Hemorrhage during pregnancy; childbirth and postpartum,Hemorrhage during pregnancy; childbirth and postpartum,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
714.1,Rheumatoid arthritis,Rheumatoid arthritis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
740.2,"Osteoarthrosis, generalized","Osteoarthrosis, generalized",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
749,Congenital anomalies of face and neck,Congenital anomalies of face and neck,15,congenital anomalies,congenital anomalies
800.2,Fracture of unspecified part of femur,Fractur of unspecified part of femur,18,injuries & poisonings,injury and poisoning
194,Cancer of other endocrine glands,Cancer of other endocrine glands,2,neoplasms,neoplasms
334.2,Anterior horn cell disease,Anterior horn cell disease,6,neurological,diseases of the nervous system
401.22,Hypertensive chronic kidney disease,Hypertensive chronic kidney disease,8,circulatory system,diseases of the circulatory system
577,Diseases of pancreas,Diseases of pancreas,10,digestive,diseases of the digestive system
735.1,Flat foot,Flat foot,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
10,Tuberculosis,Tuberculosis,1,infectious diseases,infectious and parasitic diseases
220,Benign neoplasm of ovary,Benign neoplasm of ovary,2,neoplasms,neoplasms
289.1,Myelofibrosis,Myelofibrosis,4,hematopoietic,diseases of the blood and blood-forming organs
427.7,Tachycardia NOS,Tachycardia NOS,8,circulatory system,diseases of the circulatory system
755.1,Congenital deformities of feet,Congenital deformities of feet,15,congenital anomalies,congenital anomalies
189,Cancer of urinary organs (incl. kidney and bladder),Cancer of kidney and urinary organs,2,neoplasms,neoplasms
172.2,Other non-epithelial cancer of skin,Non-melanoma skin cancer,2,neoplasms,neoplasms
316,Substance addiction and disorders,Substance addiction and disorders,5,mental disorders,mental disorders
327.4,Insomnia,Insomnia,6,neurological,diseases of the nervous system
348.9,"Other conditions of brain, NOS","Other conditions of brain, NOS",6,neurological,diseases of the nervous system
365.1,Open-angle glaucoma,Open-angle glaucoma,7,sense organs,diseases of the sense organs
374.6,Dermatochalasis,Dermatochalasis,7,sense organs,diseases of the sense organs
291,Other specified nonpsychotic and/or transient mental disorders,Other specified nonpsychotic and/or transient mental disorders,5,mental disorders,mental disorders
442.8,Aneurysm of other specified artery,Aneurysm of other specified artery,8,circulatory system,diseases of the circulatory system
509.2,Respiratory insufficiency,Respiratory insufficiency,9,respiratory,diseases of the respiratory system
731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere,Osteitis deformans & osteopathies associated with other disorders,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
751.12,Congenital anomalies of male genital organs,Congenital anomalies of male genital organs,15,congenital anomalies,congenital anomalies
823,Torus fracture,Torus fracture,18,injuries & poisonings,injury and poisoning
427.22,Atrial flutter,Atrial flutter,8,circulatory system,diseases of the circulatory system
440.1,Atherosclerosis of renal artery,Atherosclerosis of renal artery,8,circulatory system,diseases of the circulatory system
732.7,Osteochondritis dissecans,Osteochondritis dissecans,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
656.5,Hematological disorders of newborn,Hematological disorders of newborn,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
754.1,"Lumbosacral spondylolysis, congenital","Lumbosacral spondylolysis, congenital",15,congenital anomalies,congenital anomalies
871.2,Open wound of finger(s),Open wound of finger(s),18,injuries & poisonings,injury and poisoning
134.1,Intestinal helminthiases,Intestinal helminthiases,1,infectious diseases,infectious and parasitic diseases
189.21,Malignant neoplasm of bladder,Bladder cancer,2,neoplasms,neoplasms
300.8,Acute reaction to stress,Acute reaction to stress,5,mental disorders,mental disorders
513,Respiratory abnormalities,Respiratory abnormalities,9,respiratory,diseases of the respiratory system
529.6,Glossodynia,Glossodynia,10,digestive,diseases of the digestive system
671,Venous/cerebrovascular complications embolism in pregnancy and the puerperium,Venous complications in pregnancy and the puerperium,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
187,Cancer of other male genital organs,Cancer of other male genital organs,2,neoplasms,neoplasms
611.1,Abnormal mammogram,Abnormal mammogram,11,genitourinary,diseases of the genitourinary system
687,Symptoms affecting skin,Symptoms affecting skin,13,dermatologic,diseases of the skin and subcutaneous tissue
665,Obstetrical/birth trauma,Obstetrical/birth trauma,,,
286,Coagulation defects,Coagulation defects,4,hematopoietic,diseases of the blood and blood-forming organs
292,Neurological disorders,Neurological disorders,5,mental disorders,mental disorders
381,Otitis media and Eustachian tube disorders,Otitis media & Eustachian tube disorders,7,sense organs,diseases of the sense organs
726.4,Calcaneal spur; Exostosis NOS,Calcaneal spur; Exostosis NOS,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
132,"Infestation (lice, mites)",Infestation,1,infectious diseases,infectious and parasitic diseases
